COA,y2005,y2006,y2007,y2008,houses
00JANW0028,5,3,7,2,139
00JANW0029,0,2,4,2,151
00JANW0030,4,0,7,3,149
00JANX0001,0,0,3,1,146
00JANX0002,0,0,1,0,118
00JANX0003,0,0,0,0,130
00JANX0004,0,0,0,5,140
00JANX0005,0,0,2,1,123
00JANX0006,0,0,1,2,108
00JANX0007,1,4,7,2,162
00JANX0008,0,1,1,0,114
00JANX0009,3,1,3,0,130
00JANX0010,1,1,0,5,142
00JANY0001,1,1,0,3,125
00JANY0002,0,2,1,1,129
00JANY0003,2,0,1,1,132
00JANY0004,2,0,1,2,124
00JANY0005,3,0,3,2,138
00JANY0006,1,1,1,2,116
00JANY0007,1,0,1,2,134
00JANY0008,1,1,2,0,114
00JANY0009,3,1,1,4,125
00JANY0010,0,1,1,6,122
00JANY0011,2,0,1,0,127
00JANY0012,0,2,4,2,134
00JANY0013,0,1,5,12,130
00JANY0014,1,1,10,1,121
00JANY0015,2,1,0,2,122
00JANY0016,5,1,2,5,143
00JANY0017,0,0,0,3,138
00JANY0018,2,1,3,0,118
00JANY0019,2,1,6,2,107
00JANZ0001,0,3,0,2,139
00JANZ0002,0,1,0,0,124
00JANZ0003,1,1,1,1,102
00JANZ0004,0,0,0,4,139
00JANZ0005,0,1,0,1,106
00JANZ0006,0,0,4,1,135
00JANZ0007,0,0,0,0,121
00JANZ0008,2,1,1,0,135
00JANZ0009,1,1,1,1,136
00JANZ0010,1,0,2,1,164
00JANZ0011,5,1,1,6,105
00JANZ0012,0,3,5,2,161
00JANZ0013,0,1,4,4,129
00JANZ0014,1,0,1,0,147
00JANZ0015,0,0,2,4,131
00JANZ0016,0,0,0,0,120
00JANZ0017,1,0,0,4,105
00JANZ0018,0,0,1,0,98
00JANZ0019,0,0,2,0,131
00JANZ0020,0,1,2,1,125
00JANZ0021,1,4,1,1,146
00JANZ0022,1,0,1,0,148
00JANZ0023,0,0,0,1,119
00JANZ0024,0,0,1,0,91
00JANZ0025,1,0,1,1,113
00JANZ0026,0,1,2,0,150
00JAPA0001,0,1,0,0,199
00JAPA0002,2,0,1,2,122
00JAPA0003,1,0,1,1,109
00JAPA0004,3,2,3,3,126
00JAPA0005,0,0,0,2,139
00JAPA0006,0,0,1,0,147
00JAPA0007,0,0,0,2,114
00JAPA0008,0,0,3,1,115
00JAPA0009,0,0,1,2,147
00JAPA0010,0,0,0,1,121
00JAPA0011,1,0,0,1,133
00JAPA0012,1,0,1,3,133
00JAPA0013,0,0,0,3,123
00JAPA0014,0,0,2,3,78
00JAPA0015,0,0,1,2,127
00JAPA0016,0,0,1,4,127
00JAPA0017,0,0,1,1,120
00JAPA0018,1,1,1,4,120
00JAPA0019,0,0,0,1,111
00JAPA0020,0,0,0,0,125
00JAPA0021,0,0,0,1,128
00JAPA0022,2,1,2,5,124
00JAPA0023,0,1,0,2,114
00JAPB0001,3,1,7,0,133
00JAPB0002,0,1,3,4,135
00JAPB0003,1,1,0,2,131
00JAPB0004,0,0,0,0,129
00JAPB0005,2,0,2,0,141
00JAPB0006,1,0,0,3,133
00JAPB0007,0,1,1,1,126
00JAPB0008,2,1,0,1,152
00JAPB0009,0,2,2,1,133
00JAPB0010,3,3,5,3,128
00JAPB0011,1,1,3,0,128
00JAPB0012,4,1,4,1,139
00JAPB0013,0,1,1,2,109
00JAPB0014,0,0,1,1,121
00JAPB0015,0,0,1,4,125
00JAPB0016,0,2,1,1,132
00JAPB0017,0,0,3,1,124
00JAPB0018,3,0,1,2,138
00JAPB0019,0,2,0,1,123
00JAPB0020,0,0,5,0,130
00JAPB0021,1,2,0,2,140
00JAPB0022,0,1,3,8,118
00JAPB0023,3,1,0,3,120
00JAPB0024,0,1,3,3,127
00JAPB0025,1,2,4,5,121
00JAPB0026,0,0,1,1,131
00JAPB0027,1,0,1,1,136
