COA,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,houses
00JANZ0018,0,0,0,0,0,0,1,0,98
00JANZ0019,1,2,2,0,0,0,2,0,131
00JANZ0020,1,4,0,1,0,1,2,1,125
00JANZ0021,1,1,0,1,1,4,1,1,146
00JANZ0022,1,2,3,0,1,0,1,0,148
00JANZ0023,0,3,2,0,0,0,0,1,119
00JANZ0024,0,1,2,0,0,0,1,0,91
00JANZ0025,0,2,0,0,1,0,1,1,113
00JANZ0026,0,1,1,1,0,1,2,0,150
00JAPA0001,1,0,2,1,0,1,0,0,199
00JAPA0002,0,1,0,1,2,0,1,2,122
00JAPA0003,0,4,1,1,1,0,1,1,109
00JAPA0004,1,3,3,7,3,2,3,3,126
00JAPA0005,4,0,1,0,0,0,0,2,139
00JAPA0006,0,1,1,0,0,0,1,0,147
00JAPA0007,1,1,2,1,0,0,0,2,114
00JAPA0008,0,0,1,1,0,0,3,1,115
00JAPA0009,0,0,0,0,0,0,1,2,147
00JAPA0010,3,1,0,0,0,0,0,1,121
00JAPA0011,1,3,0,0,1,0,0,1,133
00JAPA0012,3,1,8,3,1,0,1,3,133
00JAPA0013,2,0,3,0,0,0,0,3,123
00JAPA0014,1,0,2,0,0,0,2,3,78
00JAPA0015,0,0,1,1,0,0,1,2,127
00JAPA0016,1,0,4,0,0,0,1,4,127
00JAPA0017,0,0,0,0,0,0,1,1,120
00JAPA0018,1,3,2,0,1,1,1,4,120
00JAPA0019,1,1,1,0,0,0,0,1,111
00JAPA0020,2,2,2,0,0,0,0,0,125
00JAPA0021,1,1,1,1,0,0,0,1,128
00JAPA0022,1,5,3,2,2,1,2,5,124
00JAPA0023,0,1,0,0,0,1,0,2,114
00JAPB0001,0,5,5,2,3,1,7,0,133
00JAPB0002,1,2,1,0,0,1,3,4,135
00JAPB0003,4,1,1,0,1,1,0,2,131
00JAPB0004,1,3,4,0,0,0,0,0,129
00JAPB0005,1,2,3,2,2,0,2,0,141
00JAPB0006,0,2,1,0,1,0,0,3,133
00JAPB0007,0,0,0,0,0,1,1,1,126
00JAPB0008,2,1,3,2,2,1,0,1,152
00JAPB0009,2,1,1,0,0,2,2,1,133
00JAPB0010,3,6,2,6,3,3,5,3,128
00JAPB0011,1,1,1,1,1,1,3,0,128
00JAPB0012,5,3,5,3,4,1,4,1,139
00JAPB0013,1,2,5,1,0,1,1,2,109
00JAPB0014,2,0,0,0,0,0,1,1,121
00JAPB0015,0,1,1,0,0,0,1,4,125
00JAPB0016,1,2,2,0,0,2,1,1,132
00JAPB0017,0,4,3,1,0,0,3,1,124
00JAPB0018,0,1,1,0,3,0,1,2,138
00JAPB0019,1,1,1,0,0,2,0,1,123
00JAPB0020,3,5,1,0,0,0,5,0,130
00JAPB0021,2,1,3,1,1,2,0,2,140
00JAPB0022,4,2,0,2,0,1,3,8,118
00JAPB0023,3,2,3,5,3,1,0,3,120
00JAPB0024,2,1,0,0,0,1,3,3,127
00JAPB0025,0,0,1,0,1,2,4,5,121
00JAPB0026,2,3,1,3,0,0,1,1,131
00JAPB0027,5,7,6,0,1,0,1,1,136
